field,company_name,company_id,question,url
employees_female,Trillicon Valley,3,What percentage of Trillicon Valley employees are female?,https://www.google.com/search?q=What+percentage+of+Trillicon+Valley+employees+are+female?
employees_male,Trillicon Valley,3,What percentage of Trillicon Valley employees are male?,https://www.google.com/search?q=What+percentage+of+Trillicon+Valley+employees+are+male?
employees_asian,Trillicon Valley,3,What percentage of Trillicon Valley employees are asian?,https://www.google.com/search?q=What+percentage+of+Trillicon+Valley+employees+are+asian?
employees_black,Trillicon Valley,3,What percentage of Trillicon Valley employees are black?,https://www.google.com/search?q=What+percentage+of+Trillicon+Valley+employees+are+black?
employees_latinx,Trillicon Valley,3,What percentage of Trillicon Valley employees are hispanic?,https://www.google.com/search?q=What+percentage+of+Trillicon+Valley+employees+are+hispanic?
employees_indigenous,Trillicon Valley,3,What percentage of Trillicon Valley employees are native american?,https://www.google.com/search?q=What+percentage+of+Trillicon+Valley+employees+are+native+american?
employees_white,Trillicon Valley,3,What percentage of Trillicon Valley employees are white?,https://www.google.com/search?q=What+percentage+of+Trillicon+Valley+employees+are+white?
company_website,Trillicon Valley,3,What is the website for Trillicon Valley?,https://www.google.com/search?q=What+is+the+website+for+Trillicon+Valley?
company_founded_year,Trillicon Valley,3,What year was Trillicon Valley founded?,https://www.google.com/search?q=What+year+was+Trillicon+Valley+founded?
company_size,Trillicon Valley,3,How many employees does Trillicon Valley have?,https://www.google.com/search?q=How+many+employees+does+Trillicon+Valley+have?
company_headquarters,Trillicon Valley,3,Where are the headquarters for Trillicon Valley?,https://www.google.com/search?q=Where+are+the+headquarters+for+Trillicon+Valley?
company_glassdoor,Trillicon Valley,3,What is the Glassdoor overall rating for Trillicon Valley?,https://www.google.com/search?q=What+is+the+Glassdoor+overall+rating+for+Trillicon+Valley?
company_work_life,Trillicon Valley,3,What is the Glassdoor work life balance rating for Trillicon Valley?,https://www.google.com/search?q=What+is+the+Glassdoor+work+life+balance+rating+for+Trillicon+Valley?
employees_female,Rippling,4,What percentage of Rippling employees are female?,https://www.google.com/search?q=What+percentage+of+Rippling+employees+are+female?
employees_male,Rippling,4,What percentage of Rippling employees are male?,https://www.google.com/search?q=What+percentage+of+Rippling+employees+are+male?
employees_asian,Rippling,4,What percentage of Rippling employees are asian?,https://www.google.com/search?q=What+percentage+of+Rippling+employees+are+asian?
employees_black,Rippling,4,What percentage of Rippling employees are black?,https://www.google.com/search?q=What+percentage+of+Rippling+employees+are+black?
employees_latinx,Rippling,4,What percentage of Rippling employees are hispanic?,https://www.google.com/search?q=What+percentage+of+Rippling+employees+are+hispanic?
employees_indigenous,Rippling,4,What percentage of Rippling employees are native american?,https://www.google.com/search?q=What+percentage+of+Rippling+employees+are+native+american?
employees_white,Rippling,4,What percentage of Rippling employees are white?,https://www.google.com/search?q=What+percentage+of+Rippling+employees+are+white?
company_website,Rippling,4,What is the website for Rippling?,https://www.google.com/search?q=What+is+the+website+for+Rippling?
company_founded_year,Rippling,4,What year was Rippling founded?,https://www.google.com/search?q=What+year+was+Rippling+founded?
company_size,Rippling,4,How many employees does Rippling have?,https://www.google.com/search?q=How+many+employees+does+Rippling+have?
company_headquarters,Rippling,4,Where are the headquarters for Rippling?,https://www.google.com/search?q=Where+are+the+headquarters+for+Rippling?
company_glassdoor,Rippling,4,What is the Glassdoor overall rating for Rippling?,https://www.google.com/search?q=What+is+the+Glassdoor+overall+rating+for+Rippling?
company_work_life,Rippling,4,What is the Glassdoor work life balance rating for Rippling?,https://www.google.com/search?q=What+is+the+Glassdoor+work+life+balance+rating+for+Rippling?
employees_female,Artists & Fleas,7,What percentage of Artists & Fleas employees are female?,https://www.google.com/search?q=What+percentage+of+Artists+and+Fleas+employees+are+female?
employees_male,Artists & Fleas,7,What percentage of Artists & Fleas employees are male?,https://www.google.com/search?q=What+percentage+of+Artists+and+Fleas+employees+are+male?
employees_asian,Artists & Fleas,7,What percentage of Artists & Fleas employees are asian?,https://www.google.com/search?q=What+percentage+of+Artists+and+Fleas+employees+are+asian?
employees_black,Artists & Fleas,7,What percentage of Artists & Fleas employees are black?,https://www.google.com/search?q=What+percentage+of+Artists+and+Fleas+employees+are+black?
employees_latinx,Artists & Fleas,7,What percentage of Artists & Fleas employees are hispanic?,https://www.google.com/search?q=What+percentage+of+Artists+and+Fleas+employees+are+hispanic?
employees_indigenous,Artists & Fleas,7,What percentage of Artists & Fleas employees are native american?,https://www.google.com/search?q=What+percentage+of+Artists+and+Fleas+employees+are+native+american?
employees_white,Artists & Fleas,7,What percentage of Artists & Fleas employees are white?,https://www.google.com/search?q=What+percentage+of+Artists+and+Fleas+employees+are+white?
company_website,Artists & Fleas,7,What is the website for Artists & Fleas?,https://www.google.com/search?q=What+is+the+website+for+Artists+and+Fleas?
company_founded_year,Artists & Fleas,7,What year was Artists & Fleas founded?,https://www.google.com/search?q=What+year+was+Artists+and+Fleas+founded?
company_size,Artists & Fleas,7,How many employees does Artists & Fleas have?,https://www.google.com/search?q=How+many+employees+does+Artists+and+Fleas+have?
company_headquarters,Artists & Fleas,7,Where are the headquarters for Artists & Fleas?,https://www.google.com/search?q=Where+are+the+headquarters+for+Artists+and+Fleas?
company_glassdoor,Artists & Fleas,7,What is the Glassdoor overall rating for Artists & Fleas?,https://www.google.com/search?q=What+is+the+Glassdoor+overall+rating+for+Artists+and+Fleas?
company_work_life,Artists & Fleas,7,What is the Glassdoor work life balance rating for Artists & Fleas?,https://www.google.com/search?q=What+is+the+Glassdoor+work+life+balance+rating+for+Artists+and+Fleas?
employees_female,YouTube,8,What percentage of YouTube employees are female?,https://www.google.com/search?q=What+percentage+of+YouTube+employees+are+female?
employees_male,YouTube,8,What percentage of YouTube employees are male?,https://www.google.com/search?q=What+percentage+of+YouTube+employees+are+male?
employees_asian,YouTube,8,What percentage of YouTube employees are asian?,https://www.google.com/search?q=What+percentage+of+YouTube+employees+are+asian?
employees_black,YouTube,8,What percentage of YouTube employees are black?,https://www.google.com/search?q=What+percentage+of+YouTube+employees+are+black?
employees_latinx,YouTube,8,What percentage of YouTube employees are hispanic?,https://www.google.com/search?q=What+percentage+of+YouTube+employees+are+hispanic?
employees_indigenous,YouTube,8,What percentage of YouTube employees are native american?,https://www.google.com/search?q=What+percentage+of+YouTube+employees+are+native+american?
employees_white,YouTube,8,What percentage of YouTube employees are white?,https://www.google.com/search?q=What+percentage+of+YouTube+employees+are+white?
company_website,YouTube,8,What is the website for YouTube?,https://www.google.com/search?q=What+is+the+website+for+YouTube?
company_founded_year,YouTube,8,What year was YouTube founded?,https://www.google.com/search?q=What+year+was+YouTube+founded?
company_size,YouTube,8,How many employees does YouTube have?,https://www.google.com/search?q=How+many+employees+does+YouTube+have?
company_headquarters,YouTube,8,Where are the headquarters for YouTube?,https://www.google.com/search?q=Where+are+the+headquarters+for+YouTube?
company_glassdoor,YouTube,8,What is the Glassdoor overall rating for YouTube?,https://www.google.com/search?q=What+is+the+Glassdoor+overall+rating+for+YouTube?
company_work_life,YouTube,8,What is the Glassdoor work life balance rating for YouTube?,https://www.google.com/search?q=What+is+the+Glassdoor+work+life+balance+rating+for+YouTube?
employees_female,Bleecker Street,9,What percentage of Bleecker Street employees are female?,https://www.google.com/search?q=What+percentage+of+Bleecker+Street+employees+are+female?
employees_male,Bleecker Street,9,What percentage of Bleecker Street employees are male?,https://www.google.com/search?q=What+percentage+of+Bleecker+Street+employees+are+male?
employees_asian,Bleecker Street,9,What percentage of Bleecker Street employees are asian?,https://www.google.com/search?q=What+percentage+of+Bleecker+Street+employees+are+asian?
employees_black,Bleecker Street,9,What percentage of Bleecker Street employees are black?,https://www.google.com/search?q=What+percentage+of+Bleecker+Street+employees+are+black?
employees_latinx,Bleecker Street,9,What percentage of Bleecker Street employees are hispanic?,https://www.google.com/search?q=What+percentage+of+Bleecker+Street+employees+are+hispanic?
employees_indigenous,Bleecker Street,9,What percentage of Bleecker Street employees are native american?,https://www.google.com/search?q=What+percentage+of+Bleecker+Street+employees+are+native+american?
employees_white,Bleecker Street,9,What percentage of Bleecker Street employees are white?,https://www.google.com/search?q=What+percentage+of+Bleecker+Street+employees+are+white?
company_website,Bleecker Street,9,What is the website for Bleecker Street?,https://www.google.com/search?q=What+is+the+website+for+Bleecker+Street?
company_founded_year,Bleecker Street,9,What year was Bleecker Street founded?,https://www.google.com/search?q=What+year+was+Bleecker+Street+founded?
company_size,Bleecker Street,9,How many employees does Bleecker Street have?,https://www.google.com/search?q=How+many+employees+does+Bleecker+Street+have?
company_headquarters,Bleecker Street,9,Where are the headquarters for Bleecker Street?,https://www.google.com/search?q=Where+are+the+headquarters+for+Bleecker+Street?
company_glassdoor,Bleecker Street,9,What is the Glassdoor overall rating for Bleecker Street?,https://www.google.com/search?q=What+is+the+Glassdoor+overall+rating+for+Bleecker+Street?
company_work_life,Bleecker Street,9,What is the Glassdoor work life balance rating for Bleecker Street?,https://www.google.com/search?q=What+is+the+Glassdoor+work+life+balance+rating+for+Bleecker+Street?
employees_female,Microsoft,12,What percentage of Microsoft employees are female?,https://www.google.com/search?q=What+percentage+of+Microsoft+employees+are+female?
employees_male,Microsoft,12,What percentage of Microsoft employees are male?,https://www.google.com/search?q=What+percentage+of+Microsoft+employees+are+male?
employees_asian,Microsoft,12,What percentage of Microsoft employees are asian?,https://www.google.com/search?q=What+percentage+of+Microsoft+employees+are+asian?
employees_black,Microsoft,12,What percentage of Microsoft employees are black?,https://www.google.com/search?q=What+percentage+of+Microsoft+employees+are+black?
