job_title,job_about,skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,skill_7,skill_8,skill_9,skill_10,skill_11,skill_12,skill_13,skill_14,skill_15,skill_16,skill_17,skill_18,skill_19,skill_20
Graphic Designer,"Works on the technical aspects of design, such as preparing files for printing or digital distribution, ensuring design consistency, and managing project timelines.",Photoshop,Illustrator,Indesign,Typography,Image Editing,Color Theory,Layout Design,Brand Identity,Creative Conceptualization,Visual Communication,,,,,,,,,,
Art Director,"An art director is responsible for the visual elements of a project, whether it be in film, television, advertising, or any other form of media. They are responsible for overseeing the entire creative process, from concept to execution, and ensuring that all elements of the project match the desired aesthetic. They often work closely with graphic designers, photographers, and other creative professionals to ensure that the project meets its goals.",Creative Conceptualization,Brand Identity,Visual Communication,Photoshop,Indesign,Illustrator,Layout Design,Typography,Image Editing,Color Theory,Presentation Skills,Leadership.,,,,,,,,
Senior Art Director,"A Senior Art Director is responsible for leading a team of designers and developing creative strategies for a variety of media. They must create visual concepts, design layouts, and oversee the production of materials such as logos, websites, advertisements, and other materials. They must also ensure that projects are completed on time and within budget.",Creative Conceptualization,Brand Identity,Visual Communication,Photoshop,Indesign,Illustrator,Layout Design,Typography,Image Editing,Color Theory,Presentation Skills,Leadership,Management,Strategic Planning,Team Building,Problem Solving,Negotiation,,,
Creative Director,"A Creative Director is responsible for developing an overall creative vision for a business or organization. They create and oversee all creative aspects of the business, such as advertising campaigns, branding, graphic design, and product development.",Creative Conceptualization,Brand Identity,Visual Communication,Photoshop,Indesign,Illustrator,Layout Design,Typography,Image Editing,Color Theory,Presentation Skills,Leadership,Management,Strategic Planning,Team Building,Problem Solving,Negotiation,,,
Software Engineer,"A software engineer is responsible for developing, designing, and testing software for various types of computer systems. They may also be responsible for maintaining and troubleshooting existing software systems as well. They typically work closely with other software engineers, as well as other IT professionals, to ensure that software is created and implemented with the highest levels of quality and efficiency.",Java,Python,Javascript,Database Design,System Architecture,Software Testing,System Administration,Cloud Computing,Project Management,,,,,,,,,,,
Senior Software Engineer,"A Senior Software Engineer is responsible for developing, designing, and testing software applications. They must analyze user needs, design and develop software solutions, and debug and maintain existing systems. They must also collaborate with internal and external stakeholders to ensure successful software delivery.",Java,Python,Javascript,Database Design,System Architecture,Software Testing,System Administration,Cloud Computing,Project Management,Leadership,Management,,,,,,,,,
Software Architect,"A Software Architect is responsible for designing, building, and maintaining software systems. They create the overall architecture and design of the software, ensuring that it meets the needs of the business.",Java,Python,Javascript,Database Design,System Architecture,Software Testing,System Administration,Cloud Computing,Project Management,Leadership,Strategic Planning,,,,,,,,,
Lead Software Architect,A Lead Software Architect is responsible for overseeing the software architecture team and ensuring that the software architecture meets the requirements of the business. They are also responsible for the development of new software architectures.,Java,Python,Javascript,Database Design,System Architecture,Software Testing,System Administration,Cloud Computing,Project Management,Leadership,Strategic Planning,Quality Assurance,,,,,,,,
Technical Director,"A Technical Director is responsible for the technical management of a project or team. They lead the technical team, develop technical processes and procedures, and manage the technical resources of the business. They also provide technical guidance and assistance to other departments.",Java,Python,Javascript,Database Design,System Architecture,Software Testing,System Administration,Cloud Computing,Project Management,Leadership,Strategic Planning,Quality Assurance,Mentoring,,,,,,,
Chief Technology Officer (CTO),"The Chief Technology Officer is responsible for leading and directing the company's technology strategy and overseeing the development, implementation and maintenance of the organization's technology infrastructure. The CTO is also responsible for staying abreast of new technologies and ensuring the organization's technology is in line with industry standards.",Java,Python,Javascript,Database Design,System Architecture,Software Testing,System Administration,Cloud Computing,Project Management,Leadership,Strategic Planning,Quality Assurance,Mentoring,Budgeting,Business Development,,,,,
Paralegal,"Paralegals provide support to attorneys by researching legal issues, preparing documents, and filing pleadings with the court. They also assist attorneys by conducting investigations, drafting correspondence, and gathering evidence for trial.",Legal Research,Legal Document Preparation,Legal Filing,Court Procedure,Client Communication,,,,,,,,,,,,,,,
Legal Assistant,"Legal assistants provide administrative and clerical support to attorneys. They may also be responsible for organizing and maintaining case files, preparing legal documents, scheduling appointments, and managing office operations.",Legal Research,Legal Document Preparation,Legal Filing,Court Procedure,Client Communication,Case Management,,,,,,,,,,,,,,
Law Clerk,"Law clerks are responsible for researching and preparing legal documents, such as briefs, motions, and memoranda. They may also provide support to attorneys by conducting research, writing reports, and summarizing depositions.",Legal Research,Legal Document Preparation,Legal Filing,Court Procedure,Client Communication,Case Management,Legal Writing,,,,,,,,,,,,,
