Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
mary-trucker-hat,Mary Trucker Hat,"<p><meta charset=""UTF-8""><br></p>
<ul data-v-3fa5037e=""""></ul>",DENIM TEARS,,,"",false,Size,OS,,,,,505-101-03-OS,907.18474,shopify,55,deny,manual,55.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,lb,,17.00,draft
jesus-trucker-hat,Jesus Trucker Hat,"<p><meta charset=""UTF-8""><br></p>
<ul data-v-3fa5037e=""""></ul>",DENIM TEARS,,,"",false,Size,OS,,,,,505-101-02-OS,907.18474,shopify,55,deny,manual,55.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,lb,,17.00,draft
adg-trucker-hat,ADG Trucker Hat,"<p><meta charset=""UTF-8""><br></p>
<ul data-v-3fa5037e=""""></ul>",DENIM TEARS,,,"",false,Size,OS,,,,,505-101-51-OS,907.18474,shopify,55,deny,manual,55.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,lb,,17.00,draft
pre-spring-plaid-button-up,Pre Spring - Plaid Button Up,"<p><meta charset=""UTF-8""><br></p>
<ul data-v-3fa5037e=""""></ul>",DENIM TEARS,,,Tops,false,Size,S,,,,,303-700-54-S,907.18474,shopify,15,deny,manual,310.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,lb,,90.00,draft
pre-spring-plaid-button-up,,,,,,,,,M,,,,,303-700-54-M,907.18474,shopify,35,deny,manual,310.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,90.00,
pre-spring-plaid-button-up,,,,,,,,,L,,,,,303-700-54-L,907.18474,shopify,40,deny,manual,310.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,90.00,
pre-spring-plaid-button-up,,,,,,,,,XL,,,,,303-700-54-XL,907.18474,shopify,20,deny,manual,310.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,90.00,
pre-spring-plaid-button-up,,,,,,,,,XXL,,,,,303-700-54-XXL,907.18474,shopify,15,deny,manual,310.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,90.00,
adg-sweatpant-navy,ADG Sweatpant Navy,"<p><meta charset=""UTF-8""><br></p>
<ul data-v-3fa5037e=""""></ul>",DENIM TEARS,,,Bottoms,false,Size,S,,,,,401-080-51-S,907.18474,shopify,15,deny,manual,120.00,,true,true,,,,,false,,,,,,,,,,,,,,,,,lb,,38.00,draft
adg-sweatpant-navy,,,,,,,,,M,,,,,401-080-51-M,907.18474,shopify,30,deny,manual,120.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,38.00,
