web-scraper-order,web-scraper-start-url,apply_link,apply_link-href,job_title,job_location,job_sector,job_type,job_experience,job_html
"1664915796-332","https://jobs.lever.co/whoop","Learning & Development (L&D) ManagerBoston, MATalent","https://jobs.lever.co/whoop/9c5f308c-10bd-4a15-b958-843ce6221ce1","Learning & Development (L&D) Manager","Boston, MA /","Talent /","","3+ years of relevant experience","<div class=""section page-centered""><div>At WHOOP, we're on a mission to unlock human performance. WHOOP empowers users to perform at a higher level through a deeper understanding of their bodies and daily lives.</div><div><br></div><div>WHOOP is seeking a candidate excited to own the company’s internal learning strategy and help our employees advance their skills and knowledge. This person will report to the Director of Talent Operations and, in addition to leading a small group of Training Specialists, will work closely with the entire Talent Team (comprising of Talent Operations, Human Resources, Talent Acquisition, and Office Experience &amp; Facilities).&nbsp;</div></div><div class=""section page-centered""><div><h3>RESPONSIBILITIES:</h3><ul class=""posting-requirements plain-list""><ul><li>Build and implement individual and organizational learning strategies</li><li>Supervise two Training Specialists&nbsp;</li><li>Develop team-specific training and build educational content oriented toward empowering our employees, skill development, and increasing productivity&nbsp;</li><li>Organize e-learning courses, workshops, and other trainings within the Learning Management Software (LMS)</li><li>Create assessment tools to understand the organization’s needs and to evaluate learning, onboarding efficacy, and employee satisfaction&nbsp;</li><li>Infuse and prioritize diversity, equity, and inclusion and WHOOP Core Values into all L&amp;D assets and onboarding solutions</li></ul></ul></div></div><div class=""section page-centered""><div><h3>QUALIFICATIONS:</h3><ul class=""posting-requirements plain-list""><ul><li>3+ years of relevant experience in a role assisting with or driving L&amp;D initiatives&nbsp;</li><li>Prior experience with people management</li><li>Prior experience designing e-learning courses</li><li>Proven ability to develop engaging training material, lessons, and presentations across a variety of learning styles and abilities; strong communication, presentation, and public speaking skills required.</li><li>Passion for helping people learn and grow</li><li>Ability to thrive in a diverse, dynamic, fast-paced, team-based environment</li><li>Willingness to work out of Boston HQ at least three days per week</li></ul></ul></div></div><div class=""section page-centered""><div><span style=""font-size: 11pt""><i>This role is based in the WHOOP office located in Boston, MA. The successful candidate must be prepared to relocate if necessary to work out of the Boston, MA office.</i></span></div><div><br></div><div><span style=""font-size: 11pt""><i>WHOOP is an Equal Opportunity Employer and participates in </i></span><a href=""https://www.e-verify.gov/"" style=""font-size: 11pt""><i>E-verify</i></a><span style=""font-size: 11pt""><i> to determine employment eligibility.</i></span></div></div><div class=""section page-centered last-section-apply"" data-qa=""btn-apply-bottom""><a class=""postings-btn template-btn-submit ruby"" href=""https://jobs.lever.co/whoop/9c5f308c-10bd-4a15-b958-843ce6221ce1/apply"">Apply for this job</a></div>"
"1664915798-333","https://jobs.lever.co/whoop","Test Development Engineer II (Electrical)Boston, MASupply Chain","https://jobs.lever.co/whoop/2fd56de9-4736-43e3-822a-fed1837544ab","Test Development Engineer II (Electrical)","Boston, MA /","Supply Chain /","","2+ years experience","<div class=""section page-centered""><div><span style=""font-size: 11pt"">At WHOOP, we're on a mission to unlock human performance. WHOOP empowers users to perform at a higher level through a deeper understanding of their bodies and daily lives.</span></div><div><br></div><div><span style=""font-size: 11pt"">As a Test Development Engineer II you will work closely with the WHOOP Manufacturing, Electrical, Firmware, Mechanical, and Signal Processing teams as you design and deploy automated test equipment and tools, supporting both the engineering development and mass production of cutting edge wearables. Additionally, you will analyze and report test results while working with engineering and factory teams to identify risk areas and architect solutions. You are familiar with electrical test engineering best practices and concepts enabling you to intelligently design test systems that are efficient and robust.</span></div></div><div class=""section page-centered""><div><h3>RESPONSIBILITIES: </h3><ul class=""posting-requirements plain-list""><ul><li>Develop the electrical and control system of Automatic Test Equipment (ATE) to support mass production testing</li><li>Create procedures for manufacturing test, test equipment calibration, test fixture maintenance, Gauge R&amp;R, and design of experiments.</li><li>Work with internal engineering teams and factory teams to achieve successful ATE bring up as well as issue resolution, production yield improvements, results tracking, data analysis, test process optimization, improvements to manufacturing robustness.</li><li>Perform root cause analysis, failure review, and data analytics to drive corrective actions for a wide variety of engineering and manufacturing test fixtures and processes.</li><li>Coordinate parallel path efforts as contingency planning for high-risk milestones</li></ul></ul></div></div><div class=""section page-centered""><div><h3>QUALIFICATIONS:</h3><ul class=""posting-requirements plain-list""><ul><li>Bachelor's degree in electrical engineering or related technical discipline</li><li>2+ years experience in electrical system design or testing.</li><li>Experience of interfaces such as UART, I2C, SPI, USB, Bluetooth, NFC, etc.</li><li>Experience in Altium for schematic design, PCB layout and simulation</li><li>Experience in embedded C/C++.</li><li>Experience communicating with engineering, manufacturing, and external partners and contractors both domestically and internationally in a CM/JDM model</li><li>Experience in consumer electronics or wearable technology</li><li>Ability to travel domestically and internationally (up to 15%)</li></ul></ul></div></div><div class=""section page-centered""><div><b><i>This role is based in the WHOOP office located in Boston, MA. The successful candidate must be prepared to relocate if necessary to work out of the Boston, MA office.</i></b></div><div><br></div><div><i>WHOOP is an Equal Opportunity Employer and participates in&nbsp;</i><a href=""https://www.e-verify.gov/"" class=""postings-link""><i>E-verify&nbsp;</i></a><i>to determine employment eligibility</i></div></div><div class=""section page-centered last-section-apply"" data-qa=""btn-apply-bottom""><a class=""postings-btn template-btn-submit ruby"" href=""https://jobs.lever.co/whoop/2fd56de9-4736-43e3-822a-fed1837544ab/apply"">Apply for this job</a></div>"
"1664915800-334","https://jobs.lever.co/whoop","Software Engineer II (Backend, Growth)Boston, MASoftware","https://jobs.lever.co/whoop/448d418e-36a7-4d8e-826b-c2ff8a5f587c","Software Engineer II (Backend, Growth)","Boston, MA /","Software /","","2+ years of professional experience","<div class=""section page-centered""><div>At WHOOP, we're on a mission to unlock human performance. WHOOP empowers members (Olympians, Professional Athletes, Fitness Enthusiasts, etc) to perform at a higher level through a deeper understanding of their bodies and daily lives. We are looking to add highly motivated skilled engineers to our team to help us scale and take our proven system to new heights.&nbsp;</div><div>&nbsp;</div><div>The Growth Team at WHOOP is responsible for increasing WHOOP’s reach, and maximizing the number of members on our platform. We take a data-driven approach to everything we do, meaning we frequently measure the performance of our features and make iterations based on those results.</div><div>&nbsp;</div><div>As a Software Engineer II on the Growth Software team, you’ll play a large role in architecting and implementing backend systems that power WHOOP’s business model. This will require a strong knowledge of backend technologies as well as an understanding of API design and development.&nbsp;</div></div><div class=""section page-centered""><div><h3>RESPONSIBILITIES:</h3><ul class=""posting-requirements plain-list""><ul><li>Help execute WHOOP's vision to build/scale a software platform that allows WHOOP to offer subscriptions to our members</li><li>Contribute to back end development using the following technologies: Java, Kafka, AWS, and Postgres</li><li>Work collaboratively in a business growth environment with a product and technical vision</li><li>Contribute to new feature ideation, planning, and development</li><li>Consistently deliver features and PRs with an iterative approach</li><li>Facilitate, coordinate, and develop ad hoc experiments to promote growth</li></ul></ul></div></div><div class=""section page-centered""><div><h3>QUALIFICATIONS:</h3><ul class=""posting-requirements plain-list""><ul><li>2+ years of professional experience working on large scale software systems</li><li>Experience in API design and development (Java preferred)</li><li>Experience in relational database design and development (SQL)</li><li>Experience integrating with third party ecommerce and payment processing systems (Shopify/Stripe preferred)</li><li>Familiarity with ecommerce standards and practices</li><li>Positive attitude and ownership mentality</li><li>Strong communication skills to work both collaboratively and independently</li></ul></ul></div></div><div class=""section page-centered""><div><i><b>This role is based in the WHOOP office located in Boston, MA. The successful candidate must be prepared to relocate if necessary to work out of the Boston, MA office.</b></i></div><div><br></div><div><span style=""font-size: 11pt"">WHOOP is an Equal Opportunity Employer and participates in&nbsp;</span><a href=""https://www.e-verify.gov/"" style=""font-size: 11pt"">E-verify&nbsp;</a><span style=""font-size: 11pt"">to determine employment eligibility.</span></div></div><div class=""section page-centered last-section-apply"" data-qa=""btn-apply-bottom""><a class=""postings-btn template-btn-submit ruby"" href=""https://jobs.lever.co/whoop/448d418e-36a7-4d8e-826b-c2ff8a5f587c/apply"">Apply for this job</a></div>"
"1664915803-335","https://jobs.lever.co/whoop","Software Engineer (Full-stack, Membership Experience)Boston, MASoftware","https://jobs.lever.co/whoop/4d7f997f-6792-4057-964d-a27042be3b3d","Software Engineer (Full-stack, Membership Experience)","Boston, MA /","Software /","","null","<div class=""section page-centered""><div>At WHOOP, we're on a mission to unlock human performance. WHOOP empowers users (Olympians, Professional Athletes, Fitness Enthusiasts, etc) to perform at a higher level through a deeper understanding of their bodies and daily lives. We are looking to add highly motivated software engineers to our team to help us scale and take our proven system to new heights.&nbsp;</div><div><br></div><div>As a Full-Stack Engineer at WHOOP, you will be involved in the planning, design, development, validation, and maintenance of various features. The code you write will go out into production and impact real members. WHOOP has a variety of external and internal facing web applications and offers the opportunity to work on a wide breadth of challenging and exciting projects.&nbsp;</div><div>&nbsp;</div><div>As a member of the Membership Experience team, you will contribute to various internal tools that enable our Membership Services team to assist our members quickly and efficiently. We work very closely with our Membership Services Representatives to understand their workflows and adapt our software to best suit their needs. You will champion development of our internal libraries which enable other teams to create their own tools for software teams and support representatives.</div><div><br></div></div><div class=""section page-centered""><div><h3>RESPONSIBILITIES:</h3><ul class=""posting-requirements plain-list""><ul><li>Work collaboratively with Design, Product and Membership Services to deliver features</li><li>Contribute to full-stack development (React/TypeScript/HTML/CSS/Java)&nbsp;</li><li>Consistently deliver features and PRs with an iterative approach</li><li>Conduct A/B tests and collect data to influence product decisions</li></ul></ul></div></div><div class=""section page-centered""><div><h3>QUALIFICATIONS:</h3><ul class=""posting-requirements plain-list""><ul><li>Experience in JavaScript/TypeScript, HTML &amp; CSS (Experience with Java is a plus)</li><li>Worked with at least one modern web application framework (React or similar)</li><li>Familiarity with relational database design and development (SQL)</li><li>Positive attitude and ownership mentality</li><li>Self driven who enjoys leading projects and working in a team setting</li><li>Thrive in a fast paced environment with a high degree of humility</li><li>Strong communication skills to work both collaboratively and independently</li><li>Care deeply about the user experience and strive to deliver products that are intuitive, accessible, and performant</li></ul></ul></div></div><div class=""section page-centered""><div><b style=""font-size: 16px""><i>This role is based in the WHOOP office located in Boston, MA. The successful candidate must be prepared to relocate if necessary to work out of the Boston, MA office.</i></b></div><div><br></div><div><span style=""font-size: 11pt"">WHOOP is an Equal Opportunity Employer and participates in&nbsp;</span><a href=""https://www.e-verify.gov/"" style=""font-size: 11pt"" class=""postings-link"">E-verify</a><span style=""font-size: 11pt"">&nbsp;to determine employment eligibility.</span></div><div><br></div></div><div class=""section page-centered last-section-apply"" data-qa=""btn-apply-bottom""><a class=""postings-btn template-btn-submit ruby"" href=""https://jobs.lever.co/whoop/4d7f997f-6792-4057-964d-a27042be3b3d/apply"">Apply for this job</a></div>"
"1664915805-336","https://jobs.lever.co/whoop","Software Engineer (Full-stack, Growth)Boston, MASoftware","https://jobs.lever.co/whoop/b62e7f20-0ab6-47d1-a3bf-50403f146466","Software Engineer (Full-stack, Growth)","Boston, MA /","Software /","","null","<div class=""section page-centered""><div>At WHOOP, we're on a mission to unlock human performance. WHOOP empowers members (Olympians, Professional Athletes, Fitness Enthusiasts, etc) to perform at a higher level through a deeper understanding of their bodies and daily lives. We are looking to add highly motivated skilled engineers to our team to help us scale and take our proven system to new heights.&nbsp;&nbsp;</div><div><br></div><div>As a Software Engineer on the Growth team, you will contribute to software features focused on increasing conversion rate, customer lifetime value and service reliability. You will contribute towards the technical direction and influence features alongside your peers and product management. You will work in a data-driven environment where you will perform A/B tests to receive quick feedback about the impact of your work and make iterative improvements based on test results.</div></div><div class=""section page-centered""><div><h3>Responsibilities:</h3><ul class=""posting-requirements plain-list""><ul><li>Work collaboratively in a business growth environment with a product and technical vision</li><li>Contribute to full-stack development (React, Java, AWS and Postgres)&nbsp;</li><li>Consistently deliver features and PRs with an iterative approach</li><li>Conduct A/B tests and collect data to influence product decisions</li></ul></ul></div></div><div class=""section page-centered""><div><h3>Qualifications:</h3><ul class=""posting-requirements plain-list""><ul><li>Professional experience working on large scale software systems</li><li>Experience in modern web frameworks (React preferred)&nbsp;&nbsp;</li><li>Experience in API design and development (Java preferred)</li><li>Familiarity with relational database design and development (SQL)</li><li>Positive attitude and ownership mentality</li><li>Strong communication skills to work both collaboratively and independently</li><li>Experience integrating with Stripe or other third party payment processing systems preferred</li></ul></ul></div></div><div class=""section page-centered""><div><b><i>This role is based in the WHOOP office located in Boston, MA. The successful candidate must be prepared to relocate if necessary to work out of the Boston, MA office.</i></b></div><div><br></div><div><span style=""font-size: 11pt"">WHOOP is an Equal Opportunity Employer and participates in </span><a href=""https://www.e-verify.gov/"" style=""font-size: 11pt"" class=""postings-link"">E-verify </a><span style=""font-size: 11pt"">to determine employment eligibility.</span></div></div><div class=""section page-centered last-section-apply"" data-qa=""btn-apply-bottom""><a class=""postings-btn template-btn-submit ruby"" href=""https://jobs.lever.co/whoop/b62e7f20-0ab6-47d1-a3bf-50403f146466/apply"">Apply for this job</a></div>"
"1664915807-337","https://jobs.lever.co/whoop","Software Engineer (Backend, Strain)Boston, MASoftware","https://jobs.lever.co/whoop/847c8dfa-296d-486a-b2aa-269b8bf1636d","Software Engineer (Backend, Strain)","Boston, MA /","Software /","","null","<div class=""section page-centered""><div>At WHOOP, we're on a mission to unlock human performance. WHOOP empowers members (Olympians, Professional Athletes, Fitness Enthusiasts, etc) to perform at a higher level through a deeper understanding of their bodies and daily lives.</div><div>&nbsp;</div><div>As a Software Engineer at WHOOP, you will help us scale out and improve our performance using the latest tools and services on AWS infrastructure. We handle massive amounts of data continuously streaming up to the cloud from everyday people improving their health and wellness to the world's greatest sports teams and athletes mandating a fault-tolerant and highly available system.</div><div>&nbsp;</div><div>As an engineer on the WHOOP Strain team, you will build features and infrastructure to enable our members to optimize their cardiovascular and weightlifting workouts. The WHOOP app recommends intensities for workouts, then allows members to plan, track, and, once complete, review and analyze their workouts. Strain is one of the core pillars of the WHOOP product and these features are an essential part of our members’ daily routine.</div><div>&nbsp;</div><div>At WHOOP, you'll collaborate with physiology experts, data scientists, and engineers, providing technical and domain expertise around these systems. You will build high performance backends to empower rich mobile experiences that members love to use. You'll identify opportunities to scale, improve, or reimagine complex architecture to keep pace with WHOOP's explosive member growth. Your solutions will serve as the foundation for the physiological product features that help our members unlock human performance.</div></div><div class=""section page-centered""><div><h3>RESPONSIBILITIES:</h3><ul class=""posting-requirements plain-list""><ul><li>Communicate effectively with immediate and external team members</li><li>Collaborate with product, software, design, and data science teams.</li><li>Contribute to backend development using the following technologies: Java, Kafka, Postgres, Cassandra, AWS.</li><li>Lead tactical planning and execution for building mobile app backends and feature infrastructure</li><li>Be receptive to feedback from others</li><li>Build testable, predictable, comprehensible systems, following and introducing best practices around testing, monitoring, alerting, and debugging</li></ul></ul></div></div><div class=""section page-centered""><div><h3>QUALIFICATIONS:</h3><ul class=""posting-requirements plain-list""><ul><li>Experience with distributed server-side development and associated patterns</li><li>Experience with one or more general purpose programming languages including but not limited to: Java, Python, or Go</li><li>Experience in ingesting data from RESTful APIs</li><li>Experience designing APIs for mobile or web applications</li><li>Willingness to be both a team player and an owner</li><li>A positive, people-oriented, and energetic attitude</li></ul></ul></div></div><div class=""section page-centered""><div><span style=""font-size: 10.5pt""><i><b>Find out more about us: </b></i></span><a href=""https://engineering.whoop.com/2020/08/26/our-software-engineering-principles/"" style=""font-size: 10.5pt""><i><b>""WHOOP Software Principles"" </b></i></a><span style=""font-size: 10.5pt""><i><b>&nbsp;</b></i></span><i><b>&nbsp;</b></i></div><div><br></div><div><span style=""font-size: 10.5pt""><i><b>This role is based in the WHOOP office located in Boston, MA. The successful candidate must be prepared to relocate if necessary to work out of the Boston, MA office.</b></i></span><i><b>&nbsp;</b></i></div><div><br></div><div><span style=""font-size: 10.5pt""><i>WHOOP is an Equal Opportunity Employer and participates in </i></span><a href=""https://www.e-verify.gov/"" style=""font-size: 10.5pt""><i>E-verify </i></a><span style=""font-size: 10.5pt""><i>to determine employment eligibility</i></span></div></div><div class=""section page-centered last-section-apply"" data-qa=""btn-apply-bottom""><a class=""postings-btn template-btn-submit ruby"" href=""https://jobs.lever.co/whoop/847c8dfa-296d-486a-b2aa-269b8bf1636d/apply"">Apply for this job</a></div>"
"1664915810-338","https://jobs.lever.co/whoop","Software Engineer (Backend, Build & Deploy)Boston, MASoftware","https://jobs.lever.co/whoop/fa8419c6-c5eb-4290-845a-1e7d80eabc58","Software Engineer (Backend, Build & Deploy)","Boston, MA /","Software /","","null","<div class=""section page-centered""><div>At WHOOP, we're on a mission to unlock human performance. WHOOP empowers members to perform at a higher level through a deeper understanding of their bodies and daily lives. We are looking for motivated engineers to join our team on our mission.</div><div>&nbsp;</div><div>The Build and Deploy team enables iOS, Android, Backend, and Web engineers to reliably and quickly deliver new features to users.</div><div>&nbsp;</div><div>As a Software Engineer on the Build and Deploy team, you will push the boundaries of continuous integration to support deploying software hundreds of times per day to users. You will build systems that help increase the safety of deployments while also increasing the velocity of releasing new features. You will help set the direction of Build and Deploy to impact engineers across all WHOOP technology stacks.</div></div><div class=""section page-centered""><div><h3>RESPONSIBILITIES:</h3><ul class=""posting-requirements plain-list""><ul><li>Work collaboratively with WHOOP engineers to deliver and shape our build and deployment systems.</li><li>Drive developer productivity improvements through tooling.&nbsp;</li><li>Create integrations with internal and third-party systems such as CircleCI and Snyk to improve the build pipeline.</li><li>Develop and maintain WHOOP’s Kubernetes clusters running on AWS infrastructure.</li><li>Educate other teams on solutions and frameworks available to help them improve their software delivery.</li><li>Help shape the roadmap for build and deployment at WHOOP.</li></ul></ul></div></div><div class=""section page-centered""><div><h3>QUALIFICATIONS:</h3><ul class=""posting-requirements plain-list""><ul><li>Experience working with continuous integration or deployment pipelines for iOS, Android, or backend applications.</li><li>Experience developing RESTful applications in Java, C#, or Python.</li><li>Experience gathering feedback from multiple stakeholders and prioritizing work to maximize business impact.</li><li>Experience measuring the performance of workflows and using the data to remove bottlenecks.</li><li>Willingness to learn and grow rapidly across a multitude of systems.</li></ul></ul></div></div><div class=""section page-centered""><div>Find out more about us:</div><div><a href=""https://engineering.whoop.com/2020/08/26/our-software-engineering-principles/"" class=""postings-link"">""WHOOP Software Principles""&nbsp;</a>&nbsp;&nbsp;</div><div><br></div><div><i><b>This role is based in the WHOOP office located in Boston, MA. The successful candidate must be prepared to relocate if necessary to work out of the Boston, MA office.&nbsp;</b></i></div><div><br></div><div><i>WHOOP is an Equal Opportunity Employer and participates in&nbsp;</i><a href=""https://www.e-verify.gov/"" class=""postings-link""><i>E-verify&nbsp;</i></a><i>to determine employment eligibility</i></div></div><div class=""section page-centered last-section-apply"" data-qa=""btn-apply-bottom""><a class=""postings-btn template-btn-submit ruby"" href=""https://jobs.lever.co/whoop/fa8419c6-c5eb-4290-845a-1e7d80eabc58/apply"">Apply for this job</a></div>"
"1664915812-339","https://jobs.lever.co/whoop","Senior iOS Engineer (Progress & Insights)Boston, MASoftware","https://jobs.lever.co/whoop/d2037eb9-1ab0-4e8d-88b6-93fdbec499c2","Senior iOS Engineer (Progress & Insights)","Boston, MA /","Software /","","null","<div class=""section page-centered""><div>At WHOOP, we're on a mission to unlock human performance. WHOOP empowers users (Olympians, Professional Athletes, Fitness Enthusiasts, etc) to perform at a higher level through a deeper understanding of their bodies and daily lives. We are looking to add highly motivated skilled engineers to our team to help us scale and take our proven system to new heights.&nbsp;&nbsp;</div><div><br></div><div>The Progress &amp; Insights team is focused on helping members understand what drives their behavioral patterns and how it impacts their mind, body, and performance. The features we build bolster behavioral change by connecting the dots between cause and effect and measuring progress over time. As a Senior iOS Engineer on the Progress &amp; Insights Team, you will build features that help members track and visualize behavioral impacts and long term/short term trends in their health metrics.</div></div><div class=""section page-centered""><div><h3>RESPONSIBILITIES:</h3><ul class=""posting-requirements plain-list""><ul><li>Work collaboratively in a cross functional team with a product manager, designers, Android engineers, and backend engineers to ideate, plan, and implement new features</li><li>Build exciting new features for the iOS app using the latest Apple frameworks</li><li>Help define and improve best practices for the entire iOS team</li><li>Mentor other members of the iOS team&nbsp;</li><li>Communicate effectively with immediate and external team members</li><li>Stay up to date with the latest Apple frameworks and best practices</li></ul></ul></div></div><div class=""section page-centered""><div><h3>QUALIFICATIONS:</h3><ul class=""posting-requirements plain-list""><ul><li>Experience in building, testing, debugging, and delivering native iOS apps in a professional environment.</li><li>Experience with Swift and iOS frameworks such as SwiftUI, UIKit, AutoLayout, Interface Builder, XCTest</li><li>Familiarity with MVVM architecture</li><li>Strong knowledge of iOS memory management and concurrency (Swift Concurrency &amp; GCD)</li><li>Experience developing libraries/frameworks and tooling that are used by other developers.</li><li>Excellent knowledge of Xcode, Fastlane, Swift Package Manager, CocoaPods, and debug tooling.</li><li>Experience communicating with a RESTful backend.</li><li>Product minded engineer with empathy for the customer experience.</li><li>Willingness to learn and grow rapidly across iOS and external systems.</li><li>Experience mentoring more junior engineers</li></ul></ul></div></div><div class=""section page-centered""><div><i>This role is based in the WHOOP office located in Boston, MA. The successful candidate must be prepared to relocate if necessary to work out of the Boston, MA office.&nbsp;</i></div><div><br></div><div><i>WHOOP is an Equal Opportunity Employer and participates in&nbsp;<a href=""https://www.e-verify.gov/"" class=""postings-link"">E-verify&nbsp;</a>to determine employment eligibility</i></div></div><div class=""section page-centered last-section-apply"" data-qa=""btn-apply-bottom""><a class=""postings-btn template-btn-submit ruby"" href=""https://jobs.lever.co/whoop/d2037eb9-1ab0-4e8d-88b6-93fdbec499c2/apply"">Apply for this job</a></div>"
"1664915814-340","https://jobs.lever.co/whoop","Android Engineer (Sleep and Recovery)Boston, MASoftware","https://jobs.lever.co/whoop/5f0bca9a-3212-4a6e-ab95-79fed44b354e","Android Engineer (Sleep and Recovery)","Boston, MA /","Software /","","null","<div class=""section page-centered""><div>At WHOOP, we're on a mission to unlock human performance. WHOOP empowers members (Olympians, Professional Athletes, Fitness Enthusiasts, etc) to perform at a higher level through a deeper understanding of their bodies and daily lives.&nbsp;</div><div>&nbsp;</div><div>The Sleep and Recovery Team at WHOOP is responsible for helping members optimize their performance through Sleep and Recovery. Sleep and Recovery are two of the main pillars of the WHOOP product, and a large part of every member’s experience with WHOOP from the moment they wake up until the time that they go to bed.&nbsp;</div><div>&nbsp;</div><div>As a member of the Sleep and Recovery team, you will contribute to software features focused on helping members improve their Sleep and Recovery so that they can perform their best. You will contribute towards the technical direction and influence features alongside your peers and product management.&nbsp;</div></div><div class=""section page-centered""><div><h3>RESPONSIBILITIES:</h3><ul class=""posting-requirements plain-list""><ul><li>Utilize knowledge of Kotlin and Java to develop and maintain product features</li><li>Build software that allows users to maximize their performance with WHOOP via new and existing Sleep and Recovery features</li><li>Work with other product engineers to devise solutions to challenges across the WHOOP system</li><li>Work collaboratively in a business growth environment with a product and technical vision</li><li>Contribute to the Android application with the opportunity to set best practices and increase usability for users and developers alike</li><li>Communicate effectively with immediate and external team members</li><li>Present solutions and frameworks for the betterment of the team to other software teams</li></ul></ul></div></div><div class=""section page-centered""><div><h3>QUALIFICATIONS:</h3><ul class=""posting-requirements plain-list""><ul><li>Experience in building, testing, debugging, and delivering Android apps in a professional environment</li><li>Experience in UI design and development within Android using MVVM</li><li>Experience communicating with a RESTful backend</li><li>Product minded engineer with empathy for the customer experience</li><li>A high degree of ownership for the features you build and ship to customers</li><li>Willingness to learn and grow rapidly across Android and external systems</li></ul></ul></div></div><div class=""section page-centered""><div><b><i><span style=""font-size: 10.5pt"">Find out more about us: </span><a href=""https://engineering.whoop.com/2020/08/26/our-software-engineering-principles/"" style=""font-size: 10.5pt"">""WHOOP Software Principles"" </a><span style=""font-size: 10.5pt"">&nbsp;</span>&nbsp;</i></b></div><div><br></div><div><b><i><span style=""font-size: 10.5pt"">This role is based in the WHOOP office located in Boston, MA. The successful candidate must be prepared to relocate if necessary to work out of the Boston, MA office.</span>&nbsp;</i></b></div><div><br></div><div><i><span style=""font-size: 10.5pt"">WHOOP is an Equal Opportunity Employer and participates in </span><a href=""https://www.e-verify.gov/"" style=""font-size: 10.5pt"">E-verify </a><span style=""font-size: 10.5pt"">to determine employment eligibility</span></i></div></div><div class=""section page-centered last-section-apply"" data-qa=""btn-apply-bottom""><a class=""postings-btn template-btn-submit ruby"" href=""https://jobs.lever.co/whoop/5f0bca9a-3212-4a6e-ab95-79fed44b354e/apply"">Apply for this job</a></div>"
"1664915816-341","https://jobs.lever.co/whoop","Senior Signal Processing Engineer (Algorithm & Research)Boston, MASignal Processing","https://jobs.lever.co/whoop/99d3a898-4eee-422f-8b86-eb797f544d1c","Senior Signal Processing Engineer (Algorithm & Research)","Boston, MA /","Signal Processing /","","null","<div class=""section page-centered""><div>At WHOOP, we're on a mission to unlock human performance. WHOOP empowers users to perform at a higher level through a deeper understanding of their bodies and daily lives.</div><div>&nbsp;</div><div>As a Senior Signal Processing Engineer at WHOOP, you will be part of a cross-functional team comprised of DSP, firmware, and electrical engineers.&nbsp; You will work on the core, fundamental features at WHOOP, which is also an incredibly difficult technical problem, of obtaining heart rate and other physiological information from noisy sensor data as well as developing algorithms and features that help us understand the confidence in our measurements. You will keep an eye towards the customer experience, ensuring that all algorithms that are created work across our diverse user population.</div></div><div class=""section page-centered""><div><h3>RESPONSIBILITIES:</h3><ul class=""posting-requirements plain-list""><ul><li>Research, design, development and verification of algorithms to solve complex signal processing and data science challenges&nbsp;</li><li>Develop innovative and creative algorithms to improve the performance&nbsp;</li><li>Participate in software development, debugging and validation in order to ensure code and results are production ready</li><li>Create Mathematical modeling, build, train and test Machine Learning models for big data&nbsp;</li><li>Work with product, marketing and end users to refine requirements</li><li>Provide leadership and coaching to peers and team members</li></ul></ul></div></div><div class=""section page-centered""><div><h3>QUALIFICATIONS:</h3><ul class=""posting-requirements plain-list""><ul><li>5+ years of industry or research experience in signal processing and/or machine learning&nbsp;</li><li>Experience analyzing biomedical data and big data</li><li>Expertise in C and/or Python</li><li>Deep knowledge of ML libraries like scikit-learn, Tensorflow, PyTorch, Keras, etc.</li><li>Experience with biosensor systems</li><li>DSP experience with demonstrated performance creating new algorithms from ideation through implementation</li><li>Familiarity with cloud computing services (AWS or GCP)</li><li>Strong oral and written interpersonal skills</li><li>Innovative and knowledgeable, and be able to adapt to changing requirements while still producing quality algorithms with tight deadlines</li></ul></ul></div></div><div class=""section page-centered""><div><b><i>This role is based in the WHOOP office located in Boston, MA. The successful candidate must be prepared to relocate if necessary to work out of the Boston, MA office.</i></b></div><div><br></div><div><i>WHOOP is an Equal Opportunity Employer and participates in&nbsp;</i><a href=""https://www.e-verify.gov/"" class=""postings-link""><i>E-verify&nbsp;</i></a><i>to determine employment eligibility</i></div></div><div class=""section page-centered last-section-apply"" data-qa=""btn-apply-bottom""><a class=""postings-btn template-btn-submit ruby"" href=""https://jobs.lever.co/whoop/99d3a898-4eee-422f-8b86-eb797f544d1c/apply"">Apply for this job</a></div>"
